mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,pitch,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,label
-249.77545166015625,92.65345001220703,-9.040423393249512,10.117966651916504,2.991356611251831,-2.527731418609619,-18.089113235473633,-26.707435607910156,-0.003599363612011075,-17.59644317626953,-23.260499954223633,-13.372346878051758,-12.397546768188477,-15.360517501831055,-7.52637243270874,8.038990020751953,-14.482458114624023,-5.743456840515137,-4.378507137298584,-0.04779023677110672,618.2802734375,27.920733822974828,14.973289256432048,17.424141121356133,16.92169315461838,22.08853300127109,19.797336014678297,49.18175947874604,0.0
-255.3521270751953,107.4822006225586,-7.948122978210449,13.69056510925293,9.531534194946289,-13.515511512756348,-17.24666404724121,-29.5433349609375,1.0920507907867432,-15.969653129577637,-23.835737228393555,-6.347291946411133,-8.967370986938477,-24.435962677001953,-1.1549620628356934,7.086173057556152,-17.912662506103516,-1.227506160736084,-4.456203937530518,-0.8664688467979431,598.8252563476562,26.27786662472886,15.086595682756148,17.66580077266196,16.777520454447345,22.837780569404252,21.184901580523295,48.556127524763184,0.0
-321.897705078125,91.30097198486328,3.7457275390625,30.000030517578125,5.335153102874756,-10.958477020263672,-12.553738594055176,-24.578468322753906,-1.3895516395568848,-18.938989639282227,-23.216388702392578,-11.366667747497559,-13.195847511291504,-13.805685043334961,-10.609262466430664,9.568046569824219,-12.588034629821777,-5.75282621383667,-1.1052606105804443,-2.4750142097473145,678.7518310546875,25.671224263334945,15.310043875838849,17.65128436708504,18.672759901348925,19.676873659420153,19.699722677431843,48.598171686638565,0.0
-251.4942169189453,91.43013763427734,-15.00588321685791,37.16075897216797,13.03192138671875,-12.974940299987793,-16.983030319213867,-34.72041320800781,4.331462860107422,-19.737218856811523,-15.092926025390625,-9.437994956970215,-13.69959545135498,-14.466514587402344,-12.907770156860352,7.128364086151123,-18.70792579650879,-3.510809898376465,-2.600456714630127,-1.6928703784942627,604.0467529296875,27.900561339768046,17.434625964776643,18.452887767711783,16.301375240873778,20.981502619917045,20.87718243380618,47.794375637955575,0.0
-264.12872314453125,113.18167877197266,-14.685999870300293,0.9211909174919128,-1.4129165410995483,-4.076160430908203,-12.522775650024414,-35.23807907104492,3.2340776920318604,-18.206418991088867,-9.081838607788086,-4.195772647857666,-7.937754154205322,-14.361604690551758,-11.483357429504395,7.8675103187561035,-18.272348403930664,-9.357898712158203,-0.0523943193256855,-0.4758695363998413,760.1159057617188,27.294911916311527,14.849007705617517,17.38117330035972,15.137524773368733,21.751624818454605,20.545853291689124,47.25421683381261,0.0
-256.713134765625,94.62226867675781,-11.804381370544434,42.283817291259766,7.906596660614014,-10.739850044250488,-26.63711929321289,-24.77524757385254,3.4499104022979736,-14.067222595214844,-26.217790603637695,-14.134782791137695,-9.957910537719727,-19.97817039489746,-13.563926696777344,5.206940174102783,-17.550460815429688,-5.2464399337768555,-1.0247523784637451,-7.740802764892578,657.62060546875,28.991657396460226,15.55178419633695,17.73533920021682,16.840430192119136,20.41987325005351,21.41808657275435,45.261177568075816,0.0
-263.8653564453125,94.94510650634766,-13.92640495300293,14.366430282592773,2.9168152809143066,0.7046307325363159,-21.203996658325195,-31.365829467773438,-3.4327831268310547,-6.18629264831543,-25.471952438354492,-2.4350998401641846,-14.021526336669922,-11.727082252502441,-13.214975357055664,8.598875045776367,-16.108261108398438,-4.355952262878418,-2.567228078842163,-2.445573091506958,735.8807983398438,28.08052787308123,14.72387288144873,16.563621116962782,16.846017927560222,22.319572105358755,21.115465339480362,46.864970493653004,0.0
-247.80702209472656,135.1570587158203,-24.175512313842773,16.280786514282227,-11.084365844726562,-8.214716911315918,-12.83768367767334,-26.687557220458984,-8.217667579650879,-8.804424285888672,-19.815706253051758,-16.12749671936035,3.4319183826446533,-25.085655212402344,-9.163572311401367,7.37826681137085,-21.434585571289062,-7.12844181060791,-0.7399567365646362,-8.255005836486816,716.9540405273438,28.953246430234504,16.354848556376247,18.08807134050439,17.922863777920682,21.58780561041068,23.96113670014839,46.138841082810316,0.0
-228.8569793701172,93.53646850585938,-7.845605850219727,35.70501708984375,-9.2401762008667,1.1519718170166016,-24.5106258392334,-30.31807518005371,-10.047246932983398,-16.678796768188477,-22.331405639648438,-13.097199440002441,-5.163854598999023,-16.273191452026367,-15.515055656433105,9.384403228759766,-24.214855194091797,3.1897683143615723,-6.856550693511963,-3.9585704803466797,662.8282470703125,29.822357231596573,14.268949471463905,18.331801306942655,14.953956821637474,19.18414973038784,21.05620134519411,49.83360310016131,0.0
-259.9557189941406,90.067626953125,-2.8433094024658203,16.356931686401367,-20.403287887573242,5.359324932098389,-18.60463523864746,-28.796663284301758,-8.084676742553711,-11.7503080368042,-14.207043647766113,-12.783333778381348,-5.1633405685424805,-13.623698234558105,-14.896809577941895,8.573219299316406,-19.96304702758789,-0.27056142687797546,-6.858407020568848,-3.167903423309326,744.6505737304688,27.90797358543938,14.282805537644988,16.03481985782842,16.35250449645948,20.015057731874396,19.59087643065875,50.727219490226894,0.0
-235.4503936767578,108.18352508544922,-27.124919891357422,22.626522064208984,-23.4212589263916,5.076996803283691,-20.257509231567383,-24.584299087524414,-13.29688835144043,-15.25833797454834,-20.321577072143555,-0.7575790286064148,-11.585939407348633,-14.659401893615723,-12.83965015411377,5.090967655181885,-17.2071475982666,-7.650071620941162,-2.7953572273254395,-8.45185375213623,600.8621215820312,30.362129227523344,15.838811741189406,17.283104838461334,15.419491346762873,20.183420578491596,19.579574069944307,45.79617172562429,0.0
-237.54794311523438,81.02503204345703,-14.49632453918457,19.758792877197266,-17.111379623413086,-1.9910011291503906,-30.037063598632812,-23.277822494506836,-5.449129104614258,-14.925939559936523,-18.74810791015625,-16.055747985839844,-3.5197696685791016,-18.280719757080078,-13.94176959991455,8.82160472869873,-25.196971893310547,6.181822776794434,-11.102010726928711,-3.8489601612091064,918.6121826171875,30.104413518683295,17.03111299394925,17.594350600481764,15.771421985979789,19.859419202481575,21.7055852425373,50.939932827912656,0.0
-249.7444610595703,81.82105255126953,-21.851383209228516,42.66287612915039,-9.249266624450684,6.068261623382568,-20.399982452392578,-26.14421272277832,-10.483877182006836,-11.354525566101074,-10.877022743225098,-23.69703483581543,-8.774462699890137,-12.932791709899902,-13.949166297912598,9.44034481048584,-25.51152992248535,4.857787132263184,-9.04079818725586,-0.2572583854198456,828.19189453125,27.388279611794626,14.22547360635077,16.74206940153495,15.160932377773092,18.309763691240455,19.556037409681277,52.23281133770063,0.0
-214.15086364746094,74.45811462402344,-21.616926193237305,30.978803634643555,-3.105863571166992,3.8552818298339844,-31.06011199951172,-26.489948272705078,-3.1323940753936768,-12.679693222045898,-25.11029815673828,-4.7494988441467285,-12.35771656036377,-15.371552467346191,-5.314690589904785,1.9003969430923462,-15.675477981567383,-3.5804057121276855,-1.931528925895691,-11.047555923461914,969.5661010742188,27.243439652829256,14.331953682626423,16.336535239690903,15.286347759580195,21.78956156645134,20.060565095381772,43.905486598553445,0.0
-251.8290252685547,109.73414611816406,-7.518338680267334,27.590633392333984,-11.086237907409668,0.3505481481552124,-16.526161193847656,-22.24125862121582,-10.070764541625977,-11.442655563354492,-27.226469039916992,-9.04793643951416,-14.771685600280762,-20.235713958740234,-8.886431694030762,0.44739702343940735,-13.129220962524414,-6.769437313079834,4.536149501800537,-9.732521057128906,641.2388305664062,27.214845334436188,16.066618211367906,17.523464646967362,17.43064466469236,20.367512734858852,21.222487487438002,46.253287419301266,0.0
-219.50497436523438,76.03656768798828,-33.43046188354492,35.85266876220703,-4.61060094833374,0.17685484886169434,-26.555553436279297,-18.570453643798828,-14.878257751464844,-10.740591049194336,-27.533172607421875,-7.771624565124512,-11.723044395446777,-23.259187698364258,-8.799453735351562,4.221780300140381,-17.537931442260742,-7.406527996063232,-0.2158931940793991,-9.800915718078613,914.306884765625,29.75426938921306,15.326247997671052,16.263500049961035,15.001174060135066,21.011418443913943,20.72698224823653,46.35966199878195,0.0
-256.1512145996094,129.54164123535156,-22.432796478271484,11.933001518249512,-18.280168533325195,4.895859718322754,-21.179269790649414,-28.440977096557617,-3.553156852722168,-15.973617553710938,-22.35270118713379,6.146438121795654,-19.65812110900879,-12.239774703979492,-10.034531593322754,3.4236080646514893,-12.82997989654541,-7.078461647033691,-1.7329277992248535,-7.668720722198486,642.8119506835938,26.95080092190137,14.410771610196203,16.84949615091478,15.975604649828163,21.63589182239504,20.958026617955255,44.231896250055485,0.0
-255.50927734375,149.353515625,-31.859155654907227,4.855046272277832,-10.034714698791504,1.355811357498169,-18.540586471557617,-20.2694034576416,-10.411839485168457,-15.293731689453125,-26.681550979614258,3.842989206314087,-12.250070571899414,-23.40196418762207,-0.724300742149353,1.712388277053833,-16.265417098999023,-4.041512966156006,-4.751021385192871,-1.3901023864746094,394.7234802246094,29.626292006231978,15.5691554079452,16.32003244345638,15.395987018366283,22.82551206982009,22.485172381740046,45.00907475544697,0.0
